ID	GTEX-1117F	GTEX-113JC	GTEX-11DXX	GTEX-11EM3	GTEX-11EMC	GTEX-11GSP	GTEX-11I78	GTEX-11P81	GTEX-11TTK	GTEX-11VI4	GTEX-11XUK	GTEX-12WSD	GTEX-12WSJ	GTEX-12ZZX	GTEX-1399U	GTEX-13D11	GTEX-13N11	GTEX-13OVI	GTEX-13PL7	GTEX-13QBU	GTEX-13QIC	GTEX-13U4I	GTEX-13W3W	GTEX-N7MT	GTEX-NL3G	GTEX-OHPK	GTEX-OHPL	GTEX-P4PP	GTEX-P78B	GTEX-PLZ4	GTEX-PWCY	GTEX-PWN1	GTEX-PWOO	GTEX-PX3G	GTEX-Q734	GTEX-QCQG	GTEX-QDT8	GTEX-QVJO	GTEX-RU1J	GTEX-RWS6	GTEX-S341	GTEX-S4P3	GTEX-S4UY	GTEX-S7SF	GTEX-SE5C	GTEX-T2IS	GTEX-T6MO	GTEX-TML8	GTEX-TMMY	GTEX-TSE9	GTEX-U3ZN	GTEX-UJHI	GTEX-W5WG	GTEX-WEY5	GTEX-WRHU	GTEX-X15G	GTEX-X8HC	GTEX-XUJ4	GTEX-XUW1	GTEX-XV7Q	GTEX-Y114	GTEX-Y3IK	GTEX-Y8LW	GTEX-YFC4	GTEX-ZAJG	GTEX-ZC5H	GTEX-ZE7O	GTEX-ZGAY	GTEX-ZLWG	GTEX-ZP4G	GTEX-ZQG8	GTEX-ZTPG	GTEX-ZV6S	GTEX-ZVT2	GTEX-ZVT3	GTEX-ZXES	GTEX-ZYWO	GTEX-ZYY3	GTEX-ZZPU 
C1	0.108	-0.0152	-0.0218	-0.0206	-0.0197	-0.0218	-0.0209	-0.0222	-0.0217	-0.0206	-0.0217	0.1297	-0.0204	-0.0106	-0.0193	-0.02	0.1151	0.1081	-0.0224	-0.0219	-0.0173	-0.0222	-0.0216	-0.0225	-0.0222	0.1208	-0.0233	-0.0195	-0.0216	-0.0167	-0.0219	-0.0211	-0.0202	-0.0206	-0.022	-0.0159	-0.0196	-0.0196	0.1161	-0.0206	0.1372	-0.0221	-0.0116	-0.0147	-0.0216	-0.0209	-0.0218	0.0794	-0.0227	-0.0215	-0.0212	0.113	-0.0223	-0.0216	-0.0213	-0.0225	-0.022	-0.0118	-0.022	-0.022	0.1321	0.1006	-0.0202	-0.0215	0.1102	-0.0213	-0.0197	-0.0238	0.0682	-0.0203	-0.0213	-0.0182	-0.0196	-0.0225	-0.0196	-0.0181	-0.0209	-0.0167	-0.021
C2	0.0121	-0.0058	0.008	0.0072	-0.006	0.0025	0.0121	0.012	-0.0024	0.01	0.0124	0.0214	0.0102	-0.1344	0.009	0.0061	0.0024	0.0146	-0.0014	0.0039	-0.0043	0.0073	0.0099	0.005	0.0091	0.0078	0.0055	0.005	-0.004	0.0037	0.0101	-3e-04	0.0089	0.0024	0.0175	-7e-04	0.0021	0.0063	0.0183	0.0053	0.0288	0.002	-0.0133	0.0029	-0.0016	0.0127	0.0068	-0.0187	0.0111	-0.0175	0.0105	0.0036	0.0042	0.0042	0.016	0.0139	-0.0028	0.0043	0.0059	0.0181	0.0152	0.0155	-0.0016	0.015	0.0108	-0.0018	0.0067	0.006	-0.0062	4e-04	0.006	0.0058	0.0014	0.0175	0.003	0.0126	-0.0021	0.0049	0.0051
C3	0.0032	-0.01	0.015	0.0034	-0.0044	-0.012	-0.0064	0.002	0.0364	-0.0108	0.0462	-0.0052	-0.0159	0.0568	-0.0114	0.0147	-0.0016	-0.0075	0.052	-0.0153	-0.0631	0.0084	0.0033	0.0533	0.0196	-0.0039	0.0358	-0.0127	0.0222	-0.09	0.0094	0.0219	0.0025	0.004	0.0368	-0.0943	-0.023	0.0312	0.0131	-0.0095	-0.0052	-2e-04	-0.1946	-0.0549	0.0448	0.0092	0.0245	-0.0333	0.0296	0.0239	-0.0151	2e-04	0.0063	7e-04	0.0215	0.0349	0.0364	-0.1876	0.0367	0.0426	0.005	0.0268	-0.0067	-0.0026	-0.0032	0.0578	0.0076	0.0316	0.0212	0.0087	0.0186	-0.0359	-0.0301	-0.0045	-0.0262	0.0268	-0.0231	-0.1054	-0.0099
InferredCov1	0.0781005695462227	-0.0217082109302282	0.0384113267064095	-0.0862986519932747	0.0513764396309853	-0.102964363992214	0.114677511155605	0.0550950318574905	0.062619186937809	0.0648398697376251	0.0875168815255165	-0.100506216287613	-0.0814859867095947	-0.103178836405277	0.0379281155765057	0.0197034701704979	-0.094491221010685	-0.0863660573959351	0.0443020053207874	0.0354443266987801	-0.0732926055788994	-0.034234132617712	-0.0818252637982368	0.0490596145391464	0.0263756290078163	0.08126550167799	-0.0172732919454575	-0.030354356393218	0.0162075385451317	-0.0635760501027107	0.0691310539841652	0.0337787568569183	0.0328071117401123	0.00027865543961525	-0.0796691626310349	0.00786150619387627	-0.0399955883622169	0.049832709133625	-0.0770081430673599	-0.0528048351407051	0.117046236991882	0.0294451303780079	-0.074138343334198	0.104688629508018	0.0906864255666733	0.00491518387570977	0.052595742046833	0.0546048395335674	-0.0149211948737502	-0.0501096472144127	0.0619420930743217	-0.0873158797621727	-0.0848202928900719	-0.0822786390781403	-0.0946854576468468	0.00582401175051928	0.00679305614903569	0.0290917307138443	-0.0150712132453918	-0.0264051128178835	-0.0709701254963875	0.0822209417819977	0.0252778083086014	-0.0947131589055061	0.0831946507096291	0.0513049699366093	-0.00664865830913186	-0.022127628326416	0.092274509370327	0.041917197406292	-0.0759849548339844	0.0281478110700846	-0.0740333944559097	0.051382802426815	-0.0987176671624184	0.0763606354594231	-0.0687378197908401	-0.00639474531635642	0.128767117857933
InferredCov2	0.0890087559819221	0.14978851377964	-0.0575597323477268	-0.0893245041370392	0.0401670299470425	0.0855550691485405	-0.0276741739362478	0.0551274977624416	0.172403454780579	-0.0644071251153946	-0.0473473742604256	0.00344846537336707	-0.0736208632588387	0.0847571864724159	-0.0702151730656624	-0.0941158384084702	-0.0194220803678036	-0.0539080277085304	0.0227464567869902	-0.00709214108064771	0.119497902691364	0.0392185226082802	-0.0745556429028511	0.113502666354179	0.127979025244713	-0.0582406297326088	-0.134611248970032	-0.00861524138599634	0.0496061034500599	0.104224845767021	-0.0594106875360012	-0.0492211803793907	-0.0202522035688162	-0.0145826824009418	-0.0160253215581179	-0.0471824891865253	0.0820305794477463	0.0615981183946133	-0.0810934454202652	-0.0147028472274542	-0.0197871048003435	0.0448075607419014	-0.0579477809369564	0.0167977847158909	-0.016342356801033	0.0721773281693459	0.0147657189518213	-0.00624191062524915	-0.0104211810976267	0.0696312561631203	-0.00975390896201134	-0.0390814132988453	-0.0755543112754822	-0.0964959338307381	0.0663356259465218	-0.00942817702889442	0.071392297744751	-0.0373550094664097	-0.0137933343648911	0.00741439219564199	-0.150544047355652	-0.0169079639017582	0.0144717860966921	0.113600745797157	0.0804022327065468	0.130121603608131	0.0800984725356102	-0.0953959599137306	-0.0773967206478119	-0.0885169133543968	-0.0959399938583374	-0.0285599753260612	-0.0569297932088375	-0.0850166827440262	0.140238717198372	-0.0492390319705009	-0.0518452264368534	0.111170284450054	-0.0624327883124352
InferredCov3	0.0486634001135826	0.0241496358066797	-0.203348934650421	0.144752159714699	-0.0630616471171379	0.0259434208273888	0.0855020582675934	0.00784286763519049	0.0710830539464951	0.0122576681897044	-0.00822045374661684	-0.0183564852923155	0.0361319780349731	0.0282821226865053	0.0510987266898155	-0.128862619400024	0.0512483529746532	0.137031048536301	0.173464000225067	0.0299381837248802	-0.0376980751752853	-0.0277748592197895	0.0527949705719948	0.0842386484146118	0.000752064865082502	0.0331115797162056	-0.133121147751808	0.0642608851194382	-0.0292508658021688	-0.0149182695895433	0.00512022618204355	0.129157215356827	-0.0893912687897682	-0.0844145491719246	-0.0416577011346817	-0.180839896202087	-0.0163189470767975	-0.0379234440624714	0.0183694940060377	-0.0346700623631477	0.0670381933450699	0.0872997641563416	0.0327506400644779	-0.0325047336518764	0.0557188428938389	-0.0940925478935242	0.134776324033737	0.00657840631902218	0.0429513342678547	-0.040521077811718	0.0139700174331665	0.0634642466902733	0.0051620970480144	0.0293721277266741	0.0314725339412689	-0.196139842271805	-0.0305074714124203	-0.0887852236628532	-0.00937189161777496	-0.250090599060059	0.123684696853161	-0.0450753942131996	0.00091299251653254	-0.0037305757869035	-0.0663932040333748	0.0481992214918137	-0.0532860793173313	0.0398152507841587	-0.0121851805597544	-0.0601450651884079	0.0415799207985401	-0.034632533788681	-0.0214360654354095	-0.0933425426483154	0.00189466937445104	0.208820164203644	-0.0923679545521736	-0.00919924303889275	0.0331745408475399
InferredCov4	0.0601000301539898	-0.0465360842645168	-0.00199656118638813	0.0338928326964378	0.0591659732162952	0.129945367574692	0.0506537109613419	-0.0101335002109408	-0.12896004319191	-0.021953109651804	0.0266625471413136	0.0458419322967529	0.0214749816805124	0.0808888748288155	-0.0854235962033272	-0.0845069140195847	-0.0260762590914965	0.03914475440979	-0.0434971489012241	-0.137689828872681	-0.0226788707077503	0.0406824685633183	0.102982379496098	0.0525628887116909	-0.0218416675925255	0.0761863812804222	0.155355587601662	-0.0907788798213005	-0.025967238470912	0.0352345295250416	0.00950272660702467	-0.0992783233523369	0.0709129944443703	-0.1680738478899	0.0396895818412304	-0.117201149463654	-0.0783894136548042	0.0730110257863998	0.0183780342340469	-0.0273974370211363	-0.0326264202594757	-0.0861283168196678	-0.120760872960091	-0.0136584853753448	-0.0671886131167412	-0.170098781585693	-0.0215760711580515	0.00640698149800301	-0.0323829427361488	0.115028738975525	0.0318210050463676	-0.0227934848517179	-0.00161733129061759	-0.0220396798104048	-0.0814095735549927	0.00122506567277014	0.0744584947824478	-0.145270079374313	-0.126322239637375	0.00215867185033858	0.0933496877551079	0.0751020461320877	-0.197534635663033	0.0281849969178438	0.18480809032917	0.0717382803559303	0.192978098988533	-0.0190018247812986	0.00226224400103092	-0.0231545958667994	0.00605938537046313	0.2349464148283	-0.0117717972025275	0.000336520664859563	-0.0928580686450005	0.103962697088718	0.000648575776722282	0.0443547777831554	0.0347421728074551
InferredCov5	0.164238288998604	-0.19921912252903	-0.0347898453474045	-0.0131785813719034	0.0956302359700203	-0.00770585471764207	0.0851344913244247	0.156601965427399	-0.0415968745946884	-0.0736343413591385	-0.0413938425481319	0.0126135405153036	0.0445331148803234	0.0502807721495628	0.00810270104557276	-0.0535053350031376	0.0508429072797298	-0.087849348783493	0.0199612062424421	-0.103405393660069	-0.0535861738026142	-0.0138027789071202	0.0133850462734699	-0.0793772041797638	0.0166331380605698	-0.0180994886904955	-0.0167915690690279	0.0287813767790794	0.0329465232789516	-0.0683468133211136	-0.0650715157389641	-0.136271804571152	0.106586597859859	-0.0427037365734577	0.118748560547829	-0.035647202283144	-0.0198108572512865	-0.0360189191997051	-0.0168220475316048	-0.0304707773029804	0.13409036397934	-0.0313765071332455	0.0319113507866859	0.0652206912636757	0.104915536940098	0.0812999829649925	-0.0549447610974312	-0.00461940094828606	-0.0251324716955423	-0.113642677664757	-0.110439322888851	-0.006148811429739	0.0475032888352871	-0.0021264785900712	0.0673942267894745	0.0919053852558136	-0.358428955078125	-0.10332278162241	-0.0142872473224998	-0.0242241118103266	-0.00169103988446295	0.0216158274561167	0.124768547713757	0.132192641496658	-0.0292587354779243	0.0849194973707199	0.12101162225008	-0.0432277731597424	-0.0842221081256866	0.0025496834423393	0.0605555884540081	-0.107837334275246	0.0257442872971296	-0.0550712719559669	0.0193207245320082	0.00132695084903389	0.140003308653831	-0.0272716451436281	0.123341403901577
InferredCov6	0.0346836596727371	0.0379081964492798	-0.0736394003033638	-0.00106390356086195	0.145821988582611	-0.0147584192454815	0.0578434281051159	-0.0536588616669178	0.108326233923435	-0.0486688613891602	0.0755001604557037	-0.0133368922397494	0.0548953749239445	-0.00376307452097535	-0.0455684885382652	0.00282260682433844	-0.0825117751955986	-0.079301655292511	-0.00225283624604344	0.0264031011611223	-0.032193049788475	-0.126939192414284	0.0214165523648262	0.00824924744665623	0.0184993892908096	-0.0756612494587898	-0.0735978037118912	-0.184609815478325	-0.0444528646767139	-0.073146179318428	0.0249931532889605	0.0139347929507494	0.144217953085899	-0.101386472582817	0.0638526082038879	-0.0811079069972038	-0.0392450802028179	-0.0118002379313111	0.155406028032303	-0.13479420542717	0.017929894849658	-0.0227547828108072	0.0796874389052391	0.0120965791866183	0.0243397336453199	0.0302121005952358	-0.022503262385726	-0.124155804514885	0.00665808282792568	0.000424580881372094	0.024162795394659	0.00725211296230555	-0.00115634908434004	0.00804817397147417	0.121552787721157	-0.116531476378441	0.189486965537071	-0.0108428308740258	-0.00464200740680099	0.0786156803369522	0.0506971217691898	-0.122376300394535	0.13663250207901	-0.0285038221627474	0.235944837331772	-0.0597574673593044	-0.229021623730659	-0.0757871940732002	0.0186015255749226	0.0340571701526642	0.0858476236462593	0.0294612608850002	0.147030130028725	-0.0927828177809715	-0.0553224012255669	-0.117871254682541	0.159623697400093	-0.0319563038647175	0.0208207983523607
InferredCov7	-0.0533221140503883	0.0347161777317524	0.0475665852427483	-0.0956835821270943	-0.151561409235001	-0.0870602577924728	-0.0861090198159218	-0.0639860332012177	0.0941300392150879	0.0133685562759638	-0.0345801040530205	-0.0584954060614109	0.0289404839277267	0.0621503181755543	-0.0524818636476994	0.270358055830002	0.0652215704321861	0.0195876210927963	-0.0463149659335613	-0.0418820083141327	-0.0383205413818359	-0.0629694536328316	0.0256740394979715	0.0872483476996422	0.0128172105178237	-0.0297925807535648	-0.0996753796935081	-0.033188670873642	-0.000589537201449275	0.126648679375648	-0.0963827222585678	-0.0369341447949409	-0.0713314563035965	0.0273921098560095	0.168405845761299	-0.00422876933589578	-0.123955547809601	0.121299743652344	0.0577881559729576	0.00493505923077464	-0.0765632018446922	-0.0436144396662712	-0.00788008980453014	0.13519598543644	0.107371486723423	-0.003406424773857	0.0528721027076244	0.025450186803937	0.0150989070534706	-0.131884500384331	0.0293554905802011	0.0121071385219693	0.00372039480134845	0.0536401532590389	0.0322427563369274	-0.0693461447954178	-0.11188605427742	-0.050678264349699	-0.0524073131382465	-0.040073074400425	0.0553507618606091	0.0671344697475433	0.0427371710538864	-0.191076815128326	0.0986387953162193	0.0500458814203739	0.143972530961037	0.0503636300563812	0.0638922080397606	-0.0305524859577417	0.209338754415512	0.0463052354753017	-0.0425140969455242	-0.140227496623993	-0.0461420714855194	-0.111611150205135	-0.119553036987782	0.106728374958038	-0.0313916876912117
