ID	GTEX-1117F	GTEX-1122O	GTEX-11DXX	GTEX-11DXY	GTEX-11DXZ	GTEX-11DYG	GTEX-11EM3	GTEX-11GS4	GTEX-11I78	GTEX-11ONC	GTEX-11TT1	GTEX-11UD2	GTEX-11ZTS	GTEX-11ZTT	GTEX-11ZUS	GTEX-12696	GTEX-12WSC	GTEX-12WSD	GTEX-12WSK	GTEX-12WSL	GTEX-12ZZX	GTEX-1399R	GTEX-1399U	GTEX-13CF3	GTEX-13FH7	GTEX-13FHP	GTEX-13FTW	GTEX-13FXS	GTEX-13N11	GTEX-13NZA	GTEX-13O21	GTEX-13O61	GTEX-13OVG	GTEX-13PL7	GTEX-13QBU	GTEX-13QJC	GTEX-13RTJ	GTEX-13S7M	GTEX-13S86	GTEX-13U4I	GTEX-13VXT	GTEX-13VXU	GTEX-13W3W	GTEX-13X6J	GTEX-NPJ7	GTEX-NPJ8	GTEX-O5YV	GTEX-O5YW	GTEX-OHPL	GTEX-OIZH	GTEX-OOBJ	GTEX-P4PP	GTEX-PSDG	GTEX-PWCY	GTEX-PWOO	GTEX-PX3G	GTEX-Q2AH	GTEX-QDVN	GTEX-QEG5	GTEX-QEL4	GTEX-QESD	GTEX-QLQ7	GTEX-QMRM	GTEX-QV44	GTEX-R53T	GTEX-R55G	GTEX-REY6	GTEX-RN64	GTEX-RTLS	GTEX-RU72	GTEX-RUSQ	GTEX-RWS6	GTEX-S3XE	GTEX-S4Z8	GTEX-SE5C	GTEX-SIU7	GTEX-SNMC	GTEX-U3ZH	GTEX-U3ZN	GTEX-U4B1	GTEX-U8XE	GTEX-UJHI	GTEX-UJMC	GTEX-UPK5	GTEX-VUSG	GTEX-WEY5	GTEX-WFG7	GTEX-WHWD	GTEX-WRHU	GTEX-X5EB	GTEX-XGQ4	GTEX-XPT6	GTEX-XPVG	GTEX-XQ8I	GTEX-XV7Q	GTEX-Y114	GTEX-Y3IK	GTEX-Y5V6	GTEX-Y8E4	GTEX-YEC3	GTEX-YEC4	GTEX-YF7O	GTEX-ZAB4	GTEX-ZDYS	GTEX-ZF3C	GTEX-ZGAY	GTEX-ZLFU	GTEX-ZPCL	GTEX-ZPU1	GTEX-ZQG8	GTEX-ZT9W	GTEX-ZUA1	GTEX-ZV7C	GTEX-ZVT2	GTEX-ZYFC	GTEX-ZYFG	GTEX-ZYT6	GTEX-ZYWO 
C1	0.108	-0.0205	-0.0218	-0.0156	0.111	0.1161	-0.0206	-0.0144	-0.0209	-0.0208	0.0243	-0.02	-0.0212	-0.0188	-0.0207	-0.0219	-0.0212	0.1297	-0.0204	-0.0207	-0.0106	-0.0224	-0.0193	-0.0226	-0.0218	0.1121	-0.0175	0.1214	0.1151	-0.0218	-0.0214	0.0271	-0.0221	-0.0224	-0.0219	-0.02	-0.0216	-0.0217	-0.0213	-0.0222	0.1053	-0.0199	-0.0216	-0.0159	-0.02	-0.0219	-0.021	-0.0113	-0.0233	-0.0123	0.129	-0.0195	-0.0232	-0.0219	-0.0202	-0.0206	0.091	-0.0207	-0.0215	-0.0165	-0.0217	0.0231	-0.0224	-0.0204	0	-0.0221	-0.0151	-0.0207	-0.0203	0.0238	-0.0214	-0.0206	-0.0234	-0.0217	-0.0216	-0.0217	-0.0222	-0.0158	-0.0212	-0.0222	-0.0216	0.113	0.103	-0.0219	-0.0226	-0.0216	-0.0169	-0.0208	-0.0213	-0.0208	-0.0209	-0.0196	-0.0213	-0.0211	-0.022	0.1321	0.1006	-0.022	-0.0128	-0.0203	-0.0206	-0.0203	-0.0189	-0.0212	-0.022	-0.0238	0.1234	-0.0224	0.1027	-0.0213	-0.0215	-0.0221	0.1011	-0.0225	0.1142	-0.0202	-0.0203	-0.0209
C2	0.0121	0.0164	0.008	-0.0021	0.0047	0.0028	0.0072	-0.0029	0.0121	0.005	0.0128	0.011	0.0123	0.0097	0.0032	0.0178	0.0024	0.0214	0.0023	0.0115	-0.1344	0.0128	0.009	0.0065	3e-04	0.0147	0.0022	0.0019	0.0024	0.0061	0.0086	-0.0949	0.0098	-0.0014	0.0039	0.0045	-3e-04	-0.011	0.0014	0.0073	0.0097	0.0043	0.0099	-0.0036	-0.0194	0.0045	0.0081	-0.0256	0.0055	-0.0178	0.0191	0.005	0.0086	0.0101	0.0089	0.0024	0.0198	0.0012	0.0036	-0.0035	0.0081	-0.5859	0.0102	-0.0024	-0.0117	0.0107	0.0031	-0.0109	0.011	-0.603	0.0137	0.0053	0.0093	0.0056	-0.0016	0.0094	0.004	0.0136	0.0105	0.0155	0.0096	0.0036	0.0169	5e-04	0.0183	0.0042	-0.0052	0.0027	0.016	0.0146	0.0056	0.0101	0.0011	0.0017	0.0181	0.0152	0.0155	0.0061	0.002	0.0056	0.0068	0.0011	2e-04	0.0061	0.0049	0.006	-0.0039	0.0072	-0.0095	0.006	0.0024	0.0124	0.0066	0.0175	0.0148	0.0011	0.013	-0.0021
C3	0.0032	0.0178	0.015	-0.1011	-0.0062	-0.0039	0.0034	-0.1688	-0.0064	0.019	0.0141	0.0201	0.0225	0.0187	-0.0309	0.0097	0.0025	-0.0052	0.0325	0.0144	0.0568	0.0381	-0.0114	0.0519	-0.011	0.0156	-0.0958	0.0088	-0.0016	0.0394	-0.0062	-0.0521	-0.0114	0.052	-0.0153	-0.0257	0.0219	0.0431	0.0094	0.0084	-0.0115	0.0196	0.0033	-0.1116	0.0571	0.0015	-0.0177	-0.2239	0.0358	-0.1342	0.0122	-0.0127	0.009	0.0094	0.0025	0.004	0.0282	0.0313	-0.0037	-0.0818	0.0201	0.0208	0.0433	0.0104	0.0315	0.024	-0.1838	0.0295	0.0182	0.0187	0.0223	-0.0095	0.0373	0.0276	0.0448	0.0074	-0.0093	0.0016	-0.0151	0.0113	0.0316	2e-04	0.027	0.0026	0.0225	7e-04	-0.0827	0.0049	0.0215	0.0102	0.0114	0.0235	0.042	-0.0109	0.0426	0.005	0.0268	0.0207	-0.2056	0.0183	0.0138	0.0144	0.0045	0.0141	0.0069	0.0316	-0.0212	-0.0148	-0.0127	0.0186	-0.0066	0.0239	-0.0011	-0.0045	0.0232	0.0074	0.0116	-0.0231
InferredCov1	-0.0611503198742867	0.0494695939123631	0.0779326632618904	-0.0290189888328314	-0.00407903734594584	-0.192540571093559	0.0774941667914391	-0.080760583281517	0.0353353507816792	-0.107889153063297	0.12127460539341	-0.0353180803358555	-0.0911921560764313	0.050584189593792	-0.0993647277355194	-0.0217070206999779	-0.0714567378163338	-0.0833882167935371	0.0402210541069508	0.0625199675559998	-0.0795280113816261	-0.0441903732717037	0.0489217564463615	0.0561129041016102	0.0893335789442062	-0.103944271802902	0.0774964019656181	-0.137297168374062	0.0423537008464336	-0.107369668781757	0.0232467520982027	0.00102344318293035	0.000108443069620989	0.0114247752353549	-0.0155641539022326	-0.0969919562339783	-0.052327036857605	-0.0286604259163141	0.0184639915823936	0.0254582222551107	0.0107410764321685	-0.113001771271229	0.0609832592308521	-0.129631325602531	-0.0507823787629604	-0.0677697882056236	0.00413815211504698	0.0577315464615822	0.0850373357534409	0.10843463242054	-0.0153452986851335	0.00036868016468361	-0.0461227558553219	0.0245807077735662	0.0268003568053246	-0.067383699119091	0.0373693108558655	0.0808896869421005	0.0466903820633888	0.0257246252149343	0.0819412767887115	0.0296860560774803	0.00245436304248869	-0.0319173447787762	-0.0267183501273394	0.0774598941206932	-0.0290124267339706	-0.142981737852097	-0.00290752341970801	-0.00731105031445622	0.052173089236021	0.0329703949391842	0.0559229925274849	0.0179082192480564	0.134996250271797	0.0244207326322794	0.0242117047309875	0.0381350256502628	-0.0214931908994913	0.0382672250270844	0.0670341998338699	-0.0488711856305599	0.0150392111390829	-0.0573638565838337	-0.0250158030539751	0.0621593035757542	0.0389944426715374	-0.0207226704806089	-0.118771471083164	0.0109541714191437	0.0274961553514004	0.0450721681118011	-0.0206287670880556	-0.0156658496707678	-0.0153807066380978	0.0469255670905113	0.00109202193561941	0.0806385949254036	-0.00163643260020763	0.0405648611485958	0.0502299554646015	-0.0127979349344969	-0.056181438267231	0.100476279854774	-0.129139736294746	0.0320761762559414	0.0992082133889198	0.0510083325207233	0.035258699208498	0.0336106792092323	0.0520789921283722	-0.103980749845505	0.027988787740469	0.0482332296669483	-0.108905583620071	-0.0113480165600777	-0.0538039244711399	0.0413364432752132
InferredCov2	0.0538189113140106	-0.0854551419615746	-0.0194530468434095	0.00131191127002239	0.0031662667170167	0.00104455160908401	-0.0663926899433136	0.077322781085968	0.0460302568972111	0.0106582837179303	-0.0694512277841568	-0.0471189506351948	-0.0676506385207176	0.0637521594762802	0.0660124942660332	-0.0877236053347588	-0.0679580047726631	-0.114566907286644	-0.0695623457431793	0.0363915599882603	0.00536346156150103	0.0329990684986115	0.0545765794813633	-0.0994419902563095	0.0612536408007145	0.115183733403683	-0.00903617590665817	-0.0447705872356892	-0.122133821249008	0.0030631935223937	0.0504309497773647	0.00179490249138325	0.0965935587882996	0.0169743150472641	0.0733816400170326	-0.0140295568853617	-0.00952593702822924	-0.0541392788290977	0.0689738243818283	-0.0361794680356979	0.097424291074276	-0.0165292844176292	0.0826398208737373	0.0704863220453262	-0.0870266258716583	0.0336263887584209	0.00295875803567469	0.0122538348659873	-0.0589243471622467	-0.0635473504662514	-0.0391433387994766	0.0684160962700844	-0.0216552875936031	-0.123305216431618	0.0506363213062286	0.125609591603279	0.123444221913815	0.00329052447341383	-0.0139108654111624	-0.0609491430222988	-0.051067478954792	0.0750802233815193	-0.0486233271658421	-0.0529956743121147	-0.00645269360393286	-0.047901201993227	-0.00498388800770044	-0.0828343257308006	-0.0135622285306454	0.0315815806388855	-0.0344995856285095	-0.0519383475184441	-0.022983318194747	-0.0743994191288948	-0.00396975548937917	0.17304590344429	-0.0637161061167717	-0.0296970661729574	-0.0408808551728725	-0.00421609356999397	-0.0462295487523079	-0.0663124844431877	0.0712658539414406	-0.0509934537112713	-0.0655222311615944	0.151156097650528	-0.0620675645768642	-0.0999264717102051	-0.00923774670809507	0.105588659644127	0.0134810339659452	-0.0263657085597515	-0.131150543689728	-0.00526720099151134	-0.144707798957825	-0.0150253614410758	0.00517531437799335	-0.0166017804294825	0.0177247766405344	0.0740079283714294	-0.0166445318609476	0.0924699306488037	-0.0193288046866655	0.0957981646060944	0.0888139382004738	0.0158278346061707	0.0845354571938515	0.0343042761087418	0.0347341448068619	0.138273879885674	-0.00183303654193878	0.050045158714056	0.0728841423988342	-0.0306935962289572	0.0445300564169884	-0.0352906621992588	-0.022542318329215	-0.0111464411020279
InferredCov3	-0.0037458511069417	-0.0513622127473354	-0.00828355364501476	0.0778796374797821	0.00881501380354166	0.00617592921480536	0.00842538941651583	0.0903814136981964	-0.0288408771157265	0.031607199460268	0.0967971384525299	0.157084614038467	-0.0483122020959854	-0.0729121342301369	-0.056704469025135	0.0306233782321215	-0.051823802292347	0.0206874534487724	-0.10478613525629	-0.0417745560407639	-0.0287127550691366	-0.0550376176834106	-0.0923463627696037	0.0311210136860609	0.0540554560720921	0.168333634734154	-0.0212734472006559	0.0330544002354145	-0.0884588584303856	0.0279735922813416	-0.0872066244482994	-0.0403386019170284	-0.0164078176021576	-0.0827333182096481	-0.0290881115943193	0.0338047817349434	0.0463455021381378	0.182477965950966	0.0253949780017138	-0.0282201506197453	-0.100409775972366	0.0467720031738281	-0.060444749891758	0.0272527672350407	-0.0588936433196068	0.0799238756299019	0.043621513992548	0.013532523997128	-0.0109713105484843	0.0356086306273937	-0.0621075257658958	-0.105386570096016	-0.00617571966722608	-0.0871057882905006	0.0523466616868973	0.013232383877039	0.0694159343838692	0.0577233172953129	0.100589506328106	0.0159761440008879	0.0914064273238182	0.00561942718923092	-0.0647790729999542	-0.0936201587319374	-0.0309744197875261	-0.00789074506610632	0.0245146993547678	-0.00206273165531456	0.00608093990013003	0.171186819672585	0.129139676690102	0.12963642179966	0.0581100285053253	-0.0286621171981096	0.139601349830627	0.000363479019142687	-0.0214239619672298	0.0269101038575172	-0.0606817714869976	0.00578463496640325	0.188329204916954	-0.0731136500835419	0.0643482580780983	-0.0213032998144627	0.0424855910241604	-0.0627500340342522	-0.00899076461791992	-0.038349237293005	0.000296972633805126	0.00913922302424908	0.0100014451891184	0.0122397607192397	-0.0340819880366325	-0.0133849140256643	-0.0196895506232977	0.000840042077470571	-0.0326702520251274	-0.000947496853768826	-0.0603146329522133	-0.0823790580034256	-0.018942104652524	-0.0561026968061924	-0.0110196275636554	0.00341863161884248	0.0184452831745148	-0.0649671703577042	0.0281073320657015	-0.0615279115736485	0.00602187542244792	-0.0849596485495567	-0.0276832170784473	-0.0173243675380945	0.0252090562134981	-0.0564351789653301	0.0319765582680702	-0.101296752691269	-0.0927163138985634	-0.0352604649960995
InferredCov4	-0.0655761435627937	0.0278585497289896	-0.0205566138029099	0.0952813476324081	0.118433386087418	-0.0187298022210598	-0.047148808836937	0.116946496069431	-0.0867316275835037	0.0273418687283993	-0.110451921820641	-0.0375719889998436	-0.0390850342810154	0.029379004612565	-0.0906208083033562	0.0823188051581383	-0.107043698430061	0.0944457799196243	-0.00332958484068513	-0.0761485025286674	-0.16465100646019	9.49055538512766e-05	0.025090703740716	0.00250854226760566	-0.00223655393347144	0.0548631921410561	0.0615346543490887	0.0268238559365273	-0.0190368574112654	0.00086976564489305	0.047877125442028	0.0289146564900875	0.0685036033391953	-0.00397692900151014	-0.0114270644262433	-0.0374632216989994	-0.0148302586749196	-0.0858800336718559	0.00254498375579715	0.0152142755687237	-0.0770789980888367	0.0594686046242714	-0.10237006098032	-0.0353386700153351	-0.0948428064584732	-0.107430137693882	-0.00560618797317147	0.0537200942635536	-0.0464221835136414	-0.0164069216698408	0.0861985757946968	-0.0726213306188583	0.0222223084419966	0.00893948972225189	-0.0153689458966255	0.0584987923502922	0.0617343932390213	-0.0686783269047737	-0.104926206171513	-0.0421848297119141	-0.0477835834026337	0.0890278369188309	0.0661911219358444	-0.0215839892625809	0.0271140616387129	-0.0455895103514194	-0.0885332748293877	0.0437745377421379	-0.115517489612103	-0.0652520507574081	-0.0312955267727375	0.0747738108038902	0.0548291020095348	0.032334316521883	-0.0757834315299988	0.106103286147118	0.0667549520730972	0.035096786916256	0.0692073181271553	0.0845010653138161	-0.0779907330870628	0.0659112259745598	0.181394129991531	-0.00701295537874103	0.0231825076043606	-0.0633511170744896	0.02176408842206	0.0564859919250011	0.00679899333044887	0.0837068632245064	-0.0502609759569168	0.0147106815129519	0.0593689680099487	-0.0418338887393475	0.0262743402272463	0.0874285101890564	0.0737370401620865	0.00893651507794857	0.0579467229545116	-0.0971950516104698	0.0545794814825058	0.00758382026106119	-0.0385378748178482	-0.0739678218960762	-0.0294857695698738	0.0126258945092559	0.090059868991375	0.0413507968187332	0.14167457818985	-0.0839970707893372	-0.00470293499529362	-0.0527348257601261	0.0228969883173704	0.00340146548114717	-0.0761952176690102	-0.00513711804524064	-0.103533267974854	-0.040140975266695
InferredCov5	-0.0154989035800099	0.0487102940678596	-0.00446374295279384	0.129698693752289	0.0899819731712341	-0.0454430319368839	0.013356207869947	0.0802981927990913	-0.106482803821564	0.0832991749048233	-0.00793622713536024	0.0378623455762863	0.120795473456383	0.0223872624337673	0.0955570191144943	0.0367245152592659	0.0553084798157215	0.0294296704232693	0.03081139549613	-0.00603278819471598	0.17980894446373	-0.0616570934653282	0.0495752543210983	-0.0136753916740417	0.0176093261688948	-0.0483770407736301	0.066736988723278	-0.0373374558985233	0.0683027729392052	0.0653960779309273	0.0387390479445457	0.0100439246743917	-0.00636000744998455	0.0355847142636776	-0.0995312109589577	-0.0266103632748127	0.00301321479491889	0.0874435752630234	0.0614857003092766	0.0621747113764286	-0.0151768065989017	0.0616910308599472	-0.0148529121652246	0.0590293370187283	0.0058804196305573	-0.157332330942154	-0.0460847020149231	0.0561567097902298	0.0540364980697632	0.0259606726467609	0.0194614510983229	-0.0154104344546795	-0.164649441838264	-0.0676234140992165	-0.109061382710934	-0.0958374887704849	-0.061280082911253	-0.0389555618166924	-0.0166093967854977	-0.0287876725196838	0.0355343483388424	0.0533536821603775	-0.00264768814668059	-0.0368882529437542	-0.0120879728347063	-0.043268196284771	-0.0268313698470592	-0.0127212852239609	0.0797801688313484	-0.015057704411447	-0.0108201447874308	-0.17349174618721	-0.0353241190314293	-0.0818024799227715	-0.0115807559341192	-0.0724982097744942	-0.0347419753670692	0.00424948800355196	-0.0265400521457195	-0.0365046672523022	0.0647504553198814	-0.100112371146679	-0.0607427023351192	-0.0241678953170776	0.0242908895015717	-0.073153905570507	-0.0941055566072464	-0.0957872271537781	-0.0439802706241608	-0.0440023392438889	-0.115694850683212	-0.0428744181990623	-0.150590121746063	-0.137409090995789	-0.0219270195811987	0.0270138047635555	0.14044913649559	0.0680824741721153	0.0436676032841206	-0.0470777526497841	0.0403622351586819	-0.0698400884866714	-0.00950162298977375	0.0566452108323574	-0.032023798674345	-0.0163628570735455	0.182301849126816	0.0539042390882969	0.135601982474327	-0.00659707561135292	0.0025589638389647	0.083878293633461	0.0123441219329834	0.00651985360309482	0.0631268471479416	-0.0381291657686234	0.0722018852829933	0.0150649044662714
InferredCov6	-0.0285999272018671	-0.06790541857481	0.00250272289849818	-0.00402708118781447	-0.0081030772998929	-0.1483104377985	-0.0633158683776855	0.0362141840159893	-0.0216145105659962	0.0290163643658161	0.00978399068117142	-0.11593272536993	-0.0176695957779884	-0.018337968736887	0.0212744250893593	-0.103457972407341	0.0849941819906235	-0.0480022132396698	-0.00914035271853209	0.0619010962545872	0.0322391092777252	0.111740052700043	-0.0583691261708736	-0.137043878436089	-0.0267577841877937	0.0174867808818817	0.03468132391572	-0.000235338811762631	-0.0164503511041403	-0.0416177585721016	-0.0147082544863224	-0.0617739148437977	-0.118627719581127	-0.0204738341271877	-0.102254040539265	-0.0630443468689919	-0.0431007146835327	-0.143323630094528	0.224758386611938	0.0768071487545967	-0.0212399382144213	0.00893439725041389	0.00141528667882085	0.0204593986272812	-0.0225279722362757	0.158463969826698	0.162472605705261	0.00631260359659791	-0.0275941006839275	0.0581170544028282	0.0420329757034779	-0.0405998416244984	0.00988487154245377	-0.0210193302482367	0.0661712735891342	-0.0459845401346684	0.044028677046299	-0.0390012264251709	0.0715755149722099	0.0986102223396301	-0.0846568271517754	-0.00976771488785744	0.0495808906853199	0.127553164958954	0.172849625349045	0.0176724065095186	-0.0637935921549797	-0.0628920942544937	0.023549335077405	0.0719292014837265	0.0705514475703239	0.00209597265347838	-0.0241650883108377	0.0213293414562941	0.0381096713244915	0.0765519887208939	0.0460320040583611	0.0635834261775017	0.0228452757000923	0.0568710118532181	-0.0704220905900002	-0.0473478697240353	-0.0274344235658646	0.0535442233085632	0.132005736231804	-0.064958393573761	-0.00341256172396243	0.0974358394742012	-0.0106642870232463	-0.0199067313224077	-0.0371437184512615	-0.0554710403084755	-0.0815522745251656	0.036811675876379	0.11641563475132	-0.126047372817993	0.0591188706457615	0.00806515384465456	0.0821822509169579	-0.0551451295614243	-0.0777257308363914	-0.054336566478014	0.0104696797206998	-0.0253994446247816	-0.00604991381987929	-0.0269513372331858	0.0364609025418758	0.0496550723910332	0.00239431695081294	-0.0736452862620354	-0.0850884094834328	0.0124498195946217	-0.0706987455487251	-0.0631215050816536	-0.0210761986672878	-0.0728425234556198	0.0409442782402039	0.0510254874825478
InferredCov7	0.020186198875308	-0.0302539058029652	-0.0236376747488976	-0.0868085771799088	0.0925344005227089	-0.0103327399119735	-0.0490548647940159	-0.0690052360296249	-0.0191693417727947	-0.0460022389888763	-0.000958006654400378	0.000625804415903986	-0.0279519632458687	0.042283121496439	-0.0527432635426521	-0.00209678895771503	-0.0437114648520947	0.0762174054980278	-0.0598081089556217	-0.0844538956880569	0.0638504773378372	0.14016880095005	-0.0795825719833374	-0.011651337146759	-0.0357989110052586	0.0411793626844883	-0.0813593566417694	0.0540538281202316	-0.103652931749821	-0.0510424375534058	-0.052971076220274	-0.0232990775257349	0.0507183521986008	-0.0450927689671516	-0.0255905091762543	0.0201948061585426	-0.225134253501892	-0.0332412533462048	-0.116376496851444	0.0869693234562874	-0.00309741357341409	0.0490445904433727	0.0285255331546068	0.0415190793573856	0.00122996070422232	-0.104778312146664	-0.000324631575495005	0.0804229974746704	0.0723996087908745	0.103236049413681	0.00788562279194593	0.105901181697845	-0.109782740473747	0.0244363490492105	-0.0365773923695087	0.0855861604213715	0.0185639970004559	0.0317853055894375	0.00229768035933375	-0.0194786917418242	0.160616546869278	0.0365977138280869	-0.0187941361218691	-0.0306796319782734	0.0910564661026001	0.091648556292057	-0.0316795371472836	-0.00163959828205407	0.0527873001992702	-0.0258709955960512	0.0153892207890749	-0.11118271946907	0.0186303146183491	-0.0321292877197266	0.013205248862505	-0.00527151301503181	-0.00951815582811832	0.0738538131117821	0.0879579707980156	0.0744361206889153	0.0996809080243111	0.0963669642806053	0.0489342287182808	0.0242181103676558	0.0473035462200642	0.00883847009390593	-0.0529530383646488	0.0182951856404543	0.0181745383888483	0.0871431529521942	-0.0572623610496521	0.0631007105112076	-0.0442199371755123	-0.104632772505283	0.0439739935100079	-0.0230918433517218	-0.0314145237207413	-0.0141854546964169	-0.0382043719291687	0.0208571515977383	-0.0669059008359909	-0.0109768267720938	-0.0636086761951447	0.0825495943427086	0.121824003756046	-0.0313636288046837	-0.175058886408806	-0.0600534826517105	0.078265093266964	0.0593402646481991	0.0376561991870403	0.0397251769900322	-0.236857041716576	0.0228505916893482	-0.077382005751133	-0.0383094288408756	0.029830465093255	0.0510228872299194
