ID	GTEX-11GSO	GTEX-11UD1	GTEX-11ZTS	GTEX-11ZVC	GTEX-12WSC	GTEX-12WSD	GTEX-12WSF	GTEX-12WSM	GTEX-12ZZW	GTEX-12ZZX	GTEX-12ZZZ	GTEX-13112	GTEX-139T8	GTEX-139TT	GTEX-13CF2	GTEX-13CIG	GTEX-13CZV	GTEX-13FHO	GTEX-13FLV	GTEX-13IVO	GTEX-13JVG	GTEX-13N1W	GTEX-13N2G	GTEX-13NYS	GTEX-13O3O	GTEX-13O3Q	GTEX-13OVH	GTEX-13OVL	GTEX-13OW5	GTEX-13OW7	GTEX-13OW8	GTEX-13PLJ	GTEX-13QIC	GTEX-13RTJ	GTEX-13S7M	GTEX-13SLW	GTEX-13VXU	GTEX-13X6I	GTEX-13X6J	GTEX-13X6K	GTEX-145MG	GTEX-145MH	GTEX-N7MS	GTEX-NL3H	GTEX-NPJ8	GTEX-P44H	GTEX-PVOW	GTEX-PWO3	GTEX-Q2AG	GTEX-QDT8	GTEX-QVUS	GTEX-RNOR	GTEX-RVPU	GTEX-RVPV	GTEX-T2IS	GTEX-UTHO	GTEX-WHSE	GTEX-WL46	GTEX-WZTO	GTEX-X4XX	GTEX-X585	GTEX-XLM4	GTEX-XMD1	GTEX-Y8DK	GTEX-YFC4	GTEX-YJ89	GTEX-Z93S	GTEX-ZAB4	GTEX-ZF28	GTEX-ZUA1	GTEX-ZVT3	GTEX-ZVZQ 
C1	-0.0215	0.1325	-0.0212	-0.0203	-0.0212	0.1297	-0.0221	-0.0218	-0.0205	-0.0106	-0.0215	-0.0212	-0.022	-0.0217	-0.0202	-0.0222	-0.0211	-0.0203	-0.0215	-0.0232	-0.0206	-0.0207	-0.021	-0.0216	-0.0217	-0.0215	-0.0223	-0.022	-0.021	-0.0219	-0.0207	-0.0234	-0.0173	-0.0216	-0.0217	-0.02	-0.0199	-0.0219	-0.0159	-0.0213	0.1106	-0.0201	-0.0217	0.0756	-0.0219	-0.0216	-0.0201	-0.0207	-0.0222	-0.0196	-0.0229	-0.0213	-0.0209	-0.0211	-0.0209	-0.0227	-0.0196	-0.0209	-0.0174	-0.0153	0.1336	-0.0216	-0.0208	-0.0215	-0.0215	-0.0114	-0.0215	-0.0189	-0.021	-0.0221	-0.0196	-0.0224
C2	0.0052	0.0212	0.0123	0.003	0.0024	0.0214	0.0136	0.0028	0.0097	-0.1344	0.0044	0.0019	0.0088	0.0158	-0.0159	0.012	0.005	0.0058	0.0049	1e-04	0.0065	0.0032	0.0131	0.008	0.0055	-0.0014	-0.0025	0.0121	0.0146	0.0063	0.0041	0.0135	-0.0043	-3e-04	-0.011	0.0109	0.0043	0.0148	-0.0036	0.0113	0.0052	-0.0052	0.01	-0.0353	0.0045	0.0185	0.0097	0.0031	0.0149	0.0021	-2e-04	-0.0074	0.0027	-0.0294	0.0127	0.014	0.0112	0.0021	-0.0018	-0.0097	0.0149	0.0054	0.0147	0.0124	0.015	-4e-04	0.0034	2e-04	0.0155	0.0124	0.003	0.0141
C3	-0.0053	-0.0014	0.0225	0.0128	0.0025	-0.0052	0.02	0.0204	-0.0138	0.0568	0.0231	0.0252	0.001	0.0121	-0.0134	0.0327	-0.0018	-0.0108	-0.0185	0.0726	0.038	-0.0158	0.0098	0.0565	-0.004	0.0251	0.046	0.0288	0.0099	0.0337	-0.0118	0.0282	-0.0631	0.0219	0.0431	-0.0128	0.0196	0.0204	-0.1116	0.0205	0.0076	-0.0222	0.0378	1e-04	0.0015	0.0254	0.0085	0.0228	0.0294	-0.023	0.0086	0.0152	0.0184	0.0685	0.0092	0.0268	-0.0639	0.0161	-0.0696	-0.1789	-0.0084	0.035	-0.0075	0.0114	-0.0026	-0.1762	0.0247	0.0045	0.0198	0.0239	-0.0262	0.0219
InferredCov1	0.0859101042151451	-0.104266762733459	-0.0904904454946518	-0.11875955760479	0.0673747807741165	-0.0688372403383255	0.00471653742715716	0.0523760616779327	-0.0967411398887634	-0.013422841206193	-0.0274431053549051	-0.0315344221889973	-0.103572711348534	-0.00316831446252763	0.00489701889455318	-0.0820247158408165	-0.00898786820471287	-0.0654666647315025	-0.0543891303241253	-0.107696995139122	-0.100419379770756	0.0653608590364456	-0.0868150889873505	-0.0579381063580513	0.0203668493777514	0.0389280505478382	-0.0186222903430462	0.00497690960764885	-0.00922337360680103	-0.11242587864399	-0.0414363481104374	-0.136851042509079	-0.0208779163658619	0.00292423274368048	-0.0104962456971407	-0.0373416543006897	0.0984398350119591	-0.0414656922221184	0.0561691932380199	0.0171533674001694	-0.0450574532151222	0.119159139692783	0.152912721037865	0.0680487379431725	-0.0932711809873581	0.00114035757724196	0.122920140624046	-0.0508545190095901	0.12146682292223	-0.0122261606156826	0.0656835064291954	0.111059620976448	-0.0697771310806274	0.0133033553138375	0.119365058839321	0.00911273062229156	0.0187467709183693	0.132947593927383	0.111573576927185	0.019003638997674	0.0654302015900612	0.057795025408268	-0.124219447374344	0.04646897315979	0.120035387575626	0.0473046824336052	0.0925025716423988	0.0693754404783249	-0.0642815381288528	0.021930368617177	-0.0827583968639374	-0.0337241105735302
InferredCov2	0.0299008879810572	-0.110100649297237	-0.0476797446608543	-0.121227197349072	0.122579149901867	0.0738079845905304	0.0284800585359335	0.126602277159691	0.0194019787013531	-0.00874208193272352	0.0447800792753696	0.0565849058330059	-0.0812609121203423	0.00420223968103528	0.0779393240809441	-0.00200714590027928	0.0821522101759911	-0.0320063345134258	0.0574587360024452	-0.0515951439738274	0.0649193525314331	0.113124519586563	-0.0372873656451702	0.0363346301019192	0.0942015945911407	0.0978023931384087	0.0885341539978981	0.0594185255467892	0.0227676946669817	0.0548913814127445	0.136757537722588	0.033203486353159	0.137116700410843	0.00456029828637838	0.0450569950044155	0.0223650131374598	0.0320734195411205	0.0205465387552977	0.020657217130065	-0.0825842097401619	0.0993112176656723	0.0776905417442322	-0.129623532295227	-0.124325931072235	-0.162474304437637	0.0466846637427807	-0.182789623737335	-0.161663010716438	-0.00539846764877439	-0.168303549289703	-0.166548877954483	-0.00262770080007613	0.00743267219513655	-0.0385743640363216	-0.100607685744762	-0.161254554986954	0.0638482645153999	0.0747073516249657	-0.0629871934652328	-0.0159225445240736	-0.0380078367888927	-0.0014244121266529	-0.067764975130558	-0.0040573482401669	0.0254482291638851	0.0818115398287773	-0.0167432576417923	-0.0721777528524399	-0.0235429387539625	-0.0480227023363113	0.0218838378787041	0.0221622083336115
InferredCov3	0.009218480437994	0.175841137766838	0.11676849424839	0.117173567414284	-0.0142750069499016	0.0295942183583975	-0.0420283600687981	-0.0225931946188211	-0.0213455110788345	0.013194122351706	0.0300290547311306	0.0922708585858345	-0.104662820696831	0.145293667912483	0.050458163022995	-0.088560089468956	0.0495236702263355	0.0755326598882675	0.0361066497862339	-0.198015972971916	0.00784227065742016	-0.0956506356596947	-0.14848330616951	-0.202010706067085	0.0190709121525288	-0.00908459909260273	-0.0142290275543928	0.00447069713845849	-0.205741763114929	0.112530425190926	0.0242395605891943	0.0705983489751816	0.0189079195261002	0.00182631181087345	0.0236898194998503	0.0276309810578823	-0.0187856238335371	-0.0126099484041333	0.0554975382983685	-0.0320130363106728	0.0705061480402946	-0.0865624025464058	0.0147183015942574	-0.111936792731285	-0.242733612656593	0.0840343832969666	0.0662098824977875	-0.0267350692301989	-0.0398466549813747	0.170467883348465	0.081709660589695	-0.0312528684735298	0.0980805084109306	0.015350591391325	0.0622447952628136	-0.0441010445356369	-0.0702497661113739	-0.0892205163836479	0.0268726199865341	-0.114831127226353	-0.146669164299965	0.0150061324238777	-0.140042454004288	0.0625654235482216	-0.0200789570808411	0.033612597733736	0.0633973553776741	0.0903082117438316	-0.0912376791238785	0.0938288420438766	0.0716889798641205	0.0575408563017845
InferredCov4	0.00278403470292687	0.0698951855301857	0.0197204425930977	0.135312333703041	0.1245978474617	-0.122234053909779	0.136817410588264	-0.0787945911288261	-0.105824187397957	0.012492785230279	0.118917018175125	0.109726332128048	0.00287812063470483	0.343481838703156	-0.0210165679454803	0.214563563466072	-0.0562522634863853	-0.0341862589120865	-0.0762708708643913	0.168204292654991	-0.00140521139837801	0.0132916988804936	0.0783638805150986	0.0425643026828766	-0.0578234419226646	0.0720374882221222	-0.0106079922989011	-0.0959160700440407	0.129115670919418	-0.055199820548296	-0.163713172078133	-0.033105880022049	-0.0185168571770191	-0.14963486790657	-0.0892897993326187	-0.015282723121345	-0.00340709299780428	0.0504481345415115	-0.00401448365300894	-0.226006180047989	0.00183040113188326	-0.0614385716617107	-0.0330061502754688	0.114014178514481	-0.120364710688591	-0.094301201403141	-0.0406933426856995	-0.0162666216492653	-0.0255075693130493	-0.0815284624695778	-0.0829191654920578	0.0236625503748655	-0.0367432311177254	-0.0884489640593529	0.109578892588615	-0.0373193472623825	0.141928017139435	-0.00694875326007605	-0.0241753421723843	-0.0496041961014271	-0.0852411910891533	-0.0277609992772341	-0.0510581955313683	0.00241383141838014	-0.0214350949972868	0.0176106002181768	0.186973810195923	0.00747757125645876	-0.0828814059495926	0.05680887773633	-0.0681823492050171	0.0467761196196079
InferredCov5	0.0242204125970602	-0.0432013086974621	-0.0101824440062046	0.0321399681270123	0.113271839916706	0.209834158420563	-0.0888063907623291	0.103359803557396	0.182722985744476	-0.043391291052103	-0.0596780627965927	0.0659016594290733	0.116529315710068	0.0698348507285118	-0.0203476473689079	-0.0543263480067253	-0.0226841438561678	-0.262908309698105	0.03876643627882	0.0681744366884232	-0.0615696795284748	-0.0657575875520706	-0.155167073011398	-0.226336568593979	-0.02679493278265	0.00566357653588057	-0.0383965335786343	-0.0286461412906647	0.0826256349682808	-0.0672448724508286	-0.0301567632704973	0.0104826996102929	-0.000432821514550596	-0.119785085320473	-0.00846208911389112	0.0855065658688545	0.0160282365977764	-0.0974419340491295	-0.120708994567394	-0.0953487977385521	0.0787418335676193	-0.0271497182548046	0.00513801304623485	0.159728422760963	-0.0306770764291286	-0.0893049165606499	-0.00864123739302158	0.00776220066472888	-0.0437754392623901	-0.114479877054691	0.0359481759369373	0.020996605977416	0.0729945674538612	-0.03447300568223	0.0759772509336472	0.0819591507315636	-0.270205795764923	-0.0185419172048569	-0.0608570016920567	0.120152674615383	0.0878881961107254	-0.147124290466309	-0.0216405633836985	0.0895006582140923	0.0926368460059166	0.0840898901224136	0.00341656664386392	-0.0652923360466957	0.148302286863327	-0.0131942825391889	0.184228494763374	0.118557080626488
InferredCov6	-0.0211232118308544	-0.0959070846438408	-0.0657501667737961	0.120318904519081	0.137958273291588	0.132525265216827	0.152412056922913	0.00381899508647621	0.0521851219236851	0.117571346461773	0.106058575212955	-0.0184429027140141	0.187869638204575	0.144177496433258	-0.0541449226438999	-0.136331245303154	-0.033079419285059	-0.00496537424623966	0.0499534383416176	-0.196642071008682	-0.0427394323050976	-0.0963072404265404	0.00942858215421438	-0.0862102210521698	-0.0979944244027138	0.0465745478868484	-0.0245610699057579	0.109322845935822	-0.165100559592247	-0.0717960074543953	-0.0957082808017731	-0.000974310736637563	0.0026294095441699	-0.0536134727299213	-0.112353652715683	-0.152253702282906	0.0124764367938042	-0.0267317034304142	-0.0546289011836052	0.15168859064579	-0.0519383251667023	0.0964595377445221	-0.0351189859211445	-0.195463597774506	0.1761324852705	-0.0224064867943525	-0.0606574006378651	-0.00178484350908548	-0.0155548974871635	-0.173481062054634	-0.0408852659165859	0.130249112844467	0.0470637530088425	0.0735156163573265	0.02546695061028	0.0943290963768959	0.0361340492963791	0.0948023647069931	0.0273816585540771	-0.176731392741203	-0.0674334317445755	0.0276726800948381	0.259060680866241	0.0200161002576351	0.0349483527243137	-0.0316065177321434	-0.0272398144006729	-0.036787211894989	-0.186998650431633	0.0281502511352301	-0.0342294536530972	0.157303676009178
InferredCov7	0.0713960826396942	-0.092779740691185	-0.0852582827210426	-0.0116221634671092	0.0239953156560659	0.0240663196891546	-0.00383206340484321	0.0123126553371549	-0.0267670694738626	-0.143903702497482	-0.103688627481461	-0.0177606083452702	0.0979621857404709	0.121187224984169	-0.107022203505039	-0.0653855130076408	0.0593853630125523	0.0941255167126656	-0.0580263882875443	-0.120459198951721	0.000193598694750108	0.193216115236282	0.237006336450577	-0.0780151337385178	0.15418852865696	-0.111930675804615	-0.0379548966884613	-0.0971622243523598	0.357559859752655	-0.13306000828743	0.044693898409605	-0.027870949357748	0.061197105795145	-0.0296381171792746	-0.0619590431451797	0.0436835065484047	-0.0173047035932541	-0.0435885190963745	-0.138907179236412	0.0600111708045006	-0.0758273676037788	-0.12577973306179	-0.00239621172659099	-0.109626539051533	-0.00498509500175714	0.25148668885231	-0.0935258939862251	0.0391327366232872	-0.136788830161095	0.0655605494976044	0.172093600034714	-0.0235506650060415	0.137518599629402	-0.0630718469619751	0.0878994986414909	-0.071347177028656	-0.0307663716375828	-0.0757858753204346	-0.037840012460947	-0.13308484852314	0.00717113027349114	0.0805552750825882	-0.0288997516036034	-0.00588584318757057	0.113903701305389	-0.00342262419871986	-0.0719652250409126	0.0665286481380463	-0.0909838750958443	0.0574739500880241	0.0650516077876091	-0.00140113628003746
