ID	GTEX-1117F	GTEX-113JC	GTEX-11DXX	GTEX-11EM3	GTEX-11EMC	GTEX-11GSP	GTEX-11I78	GTEX-11P81	GTEX-11ZTS	GTEX-11ZTT	GTEX-12WSD	GTEX-12WSG	GTEX-12WSK	GTEX-12ZZX	GTEX-1399U	GTEX-13D11	GTEX-13FTX	GTEX-13N11	GTEX-13OVI	GTEX-13OVJ	GTEX-13PL7	GTEX-13QBU	GTEX-13S7M	GTEX-13U4I	GTEX-13VXT	GTEX-13W3W	GTEX-N7MT	GTEX-OHPL	GTEX-P4PP	GTEX-P4QT	GTEX-P78B	GTEX-POMQ	GTEX-PWN1	GTEX-PWOO	GTEX-PX3G	GTEX-Q734	GTEX-QCQG	GTEX-R55G	GTEX-RTLS	GTEX-RU1J	GTEX-RU72	GTEX-RWS6	GTEX-S32W	GTEX-S341	GTEX-S4UY	GTEX-S7SF	GTEX-T2IS	GTEX-T5JW	GTEX-T6MO	GTEX-TMMY	GTEX-TSE9	GTEX-U3ZN	GTEX-W5WG	GTEX-WEY5	GTEX-WI4N	GTEX-WWYW	GTEX-XUJ4	GTEX-XUW1	GTEX-XUZC	GTEX-XYKS	GTEX-Y114	GTEX-Y3IK	GTEX-YFC4	GTEX-ZLWG	GTEX-ZP4G	GTEX-ZTPG	GTEX-ZV6S	GTEX-ZVT2	GTEX-ZXES	GTEX-ZYWO 
C1	0.108	-0.0152	-0.0218	-0.0206	-0.0197	-0.0218	-0.0209	-0.0222	-0.0212	-0.0188	0.1297	-0.0207	-0.0204	-0.0106	-0.0193	-0.02	-0.022	0.1151	0.1081	-0.0208	-0.0224	-0.0219	-0.0217	-0.0222	0.1053	-0.0216	-0.0225	-0.0233	-0.0195	-0.015	-0.0216	0.0802	-0.0211	-0.0202	-0.0206	-0.022	-0.0159	-0.0221	-0.0203	0.1161	0.0238	-0.0206	-0.0192	0.1372	-0.0116	-0.0147	-0.0209	-0.0187	-0.0218	-0.0227	-0.0215	-0.0212	-0.0223	-0.0216	-0.0211	-0.0218	-0.0118	-0.022	-0.0217	0.1236	0.1321	0.1006	-0.0215	0.0682	-0.0203	-0.0182	-0.0196	-0.0225	-0.0181	-0.0209
C2	0.0121	-0.0058	0.008	0.0072	-0.006	0.0025	0.0121	0.012	0.0123	0.0097	0.0214	0.0055	0.0023	-0.1344	0.009	0.0061	0.0103	0.0024	0.0146	0.0084	-0.0014	0.0039	-0.011	0.0073	0.0097	0.0099	0.005	0.0055	0.005	-0.0083	-0.004	0.0051	-3e-04	0.0089	0.0024	0.0175	-7e-04	0.0107	0.011	0.0183	-0.603	0.0053	0.0012	0.0288	-0.0133	0.0029	0.0127	0.0027	0.0068	0.0111	-0.0175	0.0105	0.0042	0.0042	0.0123	-0.001	0.0043	0.0059	0.0092	-0.0057	0.0152	0.0155	0.015	-0.0062	4e-04	0.0058	0.0014	0.0175	0.0126	-0.0021
C3	0.0032	-0.01	0.015	0.0034	-0.0044	-0.012	-0.0064	0.002	0.0225	0.0187	-0.0052	0.0109	0.0325	0.0568	-0.0114	0.0147	-6e-04	-0.0016	-0.0075	2e-04	0.052	-0.0153	0.0431	0.0084	-0.0115	0.0033	0.0533	0.0358	-0.0127	-0.1511	0.0222	0.0174	0.0219	0.0025	0.004	0.0368	-0.0943	0.024	0.0182	0.0131	0.0187	-0.0095	-0.0097	-0.0052	-0.1946	-0.0549	0.0092	0.0206	0.0245	0.0296	0.0239	-0.0151	0.0063	7e-04	0.0087	0.019	-0.1876	0.0367	-0.0031	0.0045	0.005	0.0268	-0.0026	0.0212	0.0087	-0.0359	-0.0301	-0.0045	0.0268	-0.0231
InferredCov1	-0.0654787793755531	-0.107676982879639	0.0516534894704819	0.10291513800621	-0.110676623880863	-0.114226169884205	0.0234689563512802	0.0189610552042723	-0.111243858933449	0.0204575043171644	-0.138125494122505	-0.0666720494627953	0.0421054475009441	-0.0687359571456909	0.014531078748405	0.0197533890604973	0.0248143151402473	0.0697472095489502	0.0092853307723999	-0.108327947556973	-0.0588870272040367	0.0057435492053628	-0.140410020947456	-0.0540265366435051	-0.0964774042367935	0.0635172799229622	-0.142866894602776	0.0528139062225819	-0.106227643787861	0.0280500650405884	-0.0408205725252628	0.0910251811146736	0.147507891058922	0.0841435864567757	0.0488177090883255	-0.062468059360981	-0.0220314897596836	0.137566745281219	-0.171304866671562	0.0556221567094326	-0.106900915503502	-0.00653966423124075	0.00685337092727423	0.114620000123978	0.0477068498730659	0.0318446978926659	0.0363541096448898	0.0786195248365402	0.073351576924324	0.0607029609382153	-0.132713884115219	0.0576718635857105	-0.0348699130117893	0.109277568757534	-0.0417692326009274	-0.137276321649551	0.000368198903743178	-0.0195455122739077	0.0888533368706703	0.0142167368903756	0.0731226801872253	-0.0319194234907627	-0.0896964892745018	0.0353049747645855	0.12277964502573	0.0333041734993458	0.0774916335940361	0.0574802681803703	0.0437249876558781	0.112501382827759
InferredCov2	-0.0496153458952904	-0.135417103767395	0.104338549077511	-0.0992038697004318	0.0101200696080923	-0.117421619594097	0.186807662248611	-0.0929929688572884	-0.0745328441262245	0.0124354176223278	-0.0587225630879402	-0.038969349116087	-0.05503985658288	-0.0342885255813599	0.0231219194829464	0.058141678571701	-0.00736091705039144	-0.0560180768370628	-0.101715534925461	-0.0625503733754158	-0.0161298289895058	0.00620547588914633	0.0190139077603817	0.0620895847678185	0.0990133732557297	-0.118047423660755	-0.100640118122101	0.122697591781616	0.18395209312439	-0.112805679440498	-0.00555679388344288	-0.0488624684512615	0.0215962491929531	-0.079768143594265	0.0191347058862448	0.00448003970086575	0.247749030590057	0.0706704556941986	-0.0302764326334	-0.0422277823090553	0.0590613894164562	0.212485685944557	0.155073046684265	-0.0480868481099606	-0.0196786057204008	-0.092346079647541	0.105523839592934	-0.00315002631396055	-0.0841564014554024	-0.0273714829236269	0.0449516698718071	0.00724830478429794	0.0847139284014702	-0.0110221831128001	-0.148844674229622	-0.0757813453674316	0.0588581934571266	0.132645130157471	-0.012258748523891	0.162388905882835	-0.0501051209867001	0.0428009107708931	-0.042000025510788	0.0418874099850655	-0.00551484199240804	-0.0946240350604057	-0.0177667699754238	0.00781079847365618	-0.0521109327673912	-0.0447123199701309
InferredCov3	-0.0733205005526543	0.0298950262367725	0.0859800651669502	0.0742036998271942	0.0669338032603264	-0.0159408003091812	0.044376153498888	0.0343544110655785	0.0278662331402302	0.117460817098618	0.066341832280159	0.101631589233875	0.0500634424388409	-0.122934274375439	0.115661486983299	0.0630906224250793	0.0101459389552474	-0.116914927959442	0.212345615029335	0.0380131304264069	0.103026889264584	0.0648248270153999	-0.00521391816437244	-0.0052406950853765	-0.0122073143720627	0.0788759961724281	0.018434377387166	-0.00965723302215338	0.122575126588345	0.062208503484726	-0.115796834230423	-0.138772025704384	-0.0204206220805645	-0.114209666848183	-0.0862147882580757	-0.135211989283562	-0.0239343605935574	-0.0918190628290176	0.119657270610332	0.0136083019897342	-0.0938595309853554	-0.00122796301729977	-0.0875417441129684	-0.0201833546161652	0.0117812575772405	-0.0755590498447418	-0.169321745634079	-0.0133236683905125	0.0434593036770821	-0.0527075417339802	-0.0986339375376701	-0.059193417429924	0.0438173040747643	0.0551744624972343	-0.188648730516434	-0.138186931610107	0.0921428427100182	0.0290331188589334	-0.12194611877203	-0.0794993489980698	0.0860062688589096	-0.000435236492194235	-0.171115845441818	0.123619690537453	0.0420142598450184	-0.0178618021309376	0.0141049902886152	0.136883392930031	0.154144614934921	-0.0787261202931404
InferredCov4	-0.00807438604533672	0.031834926456213	0.148857057094574	-0.0466972403228283	0.0973906815052032	0.102171950042248	-0.00673200655728579	-0.0424852855503559	0.0184811260551214	0.0324775651097298	-0.0470637790858746	-0.0712172091007233	-0.0621624924242496	-0.0289393905550241	0.0559684894979	0.0209517609328032	-0.112453401088715	-0.0222106669098139	0.00173500541131943	0.143153995275497	-0.0835171565413475	-0.0580222420394421	0.00729233399033546	-0.111726723611355	-0.182632341980934	0.14898756146431	0.0976865068078041	0.20306433737278	-0.133746013045311	-0.112234205007553	-0.155001446604729	-0.0142687307670712	-0.0393645465373993	0.157819718122482	-0.17559053003788	-0.0693745911121368	0.0501132197678089	0.0639901980757713	-0.00527507346123457	-0.0982997044920921	-0.0709287971258163	0.00216014799661934	0.0964890271425247	-0.0130775105208158	-0.105353035032749	-0.039752971380949	0.00020570018386934	-0.0563612207770348	-0.0262098144739866	-0.0440302453935146	0.0355024598538876	-0.170586690306664	0.0257180836051702	-0.0325766988098621	0.0806419849395752	0.143920674920082	0.0430467016994953	0.0408202111721039	-0.0758261010050774	0.111769527196884	-0.0529033988714218	0.00230118213221431	-0.0603595972061157	0.0731231868267059	-0.0126600777730346	0.143930539488792	0.19224713742733	0.101182900369167	-0.126683190464973	0.101372100412846
InferredCov5	-0.0161739215254784	-0.00618216721341014	-0.0670024305582047	0.00191224378068	0.0426363833248615	-0.0448005646467209	0.13054758310318	0.183888971805573	-0.0254507921636105	-0.105908095836639	-0.0562528036534786	0.0912568122148514	0.0690553784370422	0.0399849563837051	0.0578628666698933	0.157475262880325	-0.0178466942161322	-0.0320808291435242	0.0196180455386639	-0.0554393008351326	-0.050869882106781	-0.159511044621468	-0.0786343142390251	0.129163309931755	-0.149359807372093	-0.0656175538897514	0.00149974052328616	-0.0106609724462032	0.0316995717585087	0.115994587540627	-0.0138673093169928	-0.0614127367734909	-0.0678666979074478	-0.0327587798237801	0.119245491921902	0.122058175504208	-0.0630927234888077	-0.0671481117606163	-0.0284091234207153	0.0141190476715565	0.123138599097729	0.0742873400449753	0.0635535567998886	-0.13954271376133	-0.0256574209779501	0.0920295417308807	-0.0329713150858879	-0.143033504486084	-0.00751116639003158	0.00704878335818648	-0.0445476844906807	0.160233244299889	-0.024623166769743	-0.0522631779313087	-0.152445912361145	0.103755556046963	-0.178866624832153	-0.00443776790052652	-0.118840299546719	-0.0214019566774368	-0.134365111589432	-0.0255361143499613	-0.133788287639618	-0.0345003381371498	-0.0538075417280197	0.235169976949692	0.154901415109634	0.0489633902907372	0.052033569663763	0.160757660865784
InferredCov6	-0.101392537355423	-0.0253028534352779	-0.0658705458045006	0.088686041533947	-0.0475720390677452	0.0441523417830467	-0.0414526462554932	-0.269494414329529	-0.0745820105075836	-0.0861333832144737	-0.0743573755025864	-0.0657045170664787	0.217824310064316	0.125689134001732	0.198201641440392	-0.0447040200233459	0.0239769276231527	-0.0591334514319897	0.0276557486504316	-0.0848243609070778	-0.00491152657195926	0.00161224452313036	0.0693398267030716	-0.0538235828280449	0.0163415875285864	0.0489825941622257	0.0703677088022232	-0.0792298391461372	-0.0309879817068577	-0.0561832338571548	-0.0127311870455742	-0.0560893826186657	0.0500502772629261	-0.0482703149318695	0.0019986976403743	-0.0307678822427988	-0.00785535573959351	-0.0144027294591069	0.0802998095750809	-0.138319075107574	0.0981262475252151	0.0698067545890808	-0.0854066982865334	0.0675935447216034	0.062387578189373	0.023451978340745	0.0466100797057152	0.042703777551651	0.075212299823761	0.0762742906808853	0.118318520486355	-0.0331394001841545	0.154220953583717	0.0162992123514414	-0.0410965867340565	0.0129905939102173	-0.0369761660695076	-0.00178963190410286	-0.0150793623179197	-0.082994170486927	-0.0677119418978691	-0.0300464108586311	-0.0134696206077933	-0.0620892010629177	-0.0686965137720108	-0.14959155023098	0.378557801246643	-0.139327496290207	0.0821440741419792	0.0155898556113243
InferredCov7	0.0805857926607132	-0.140370726585388	-0.0332527682185173	0.019944628700614	-0.138670906424522	-0.0774453729391098	0.0532884933054447	-0.129074454307556	-0.230384916067123	-0.0985773950815201	-0.117686003446579	0.0298919249325991	0.011865065433085	-0.0981869697570801	0.0773443803191185	-0.0616068802773952	0.0285315848886967	0.0577634871006012	0.151112362742424	0.184025064110756	-0.00514999683946371	0.00548736099153757	-0.096027210354805	-0.0771159306168556	0.0739041715860367	-0.0179807990789413	0.0363961309194565	0.0904516205191612	0.182744011282921	0.101415522396564	-0.0393867343664169	0.00215441058389843	-0.0356916040182114	0.0701000317931175	0.0680587440729141	-0.035080686211586	0.0534320473670959	-0.128193005919456	-0.01522221788764	-0.0347174964845181	0.0270595457404852	-0.0362151153385639	-0.00655965553596616	-0.0974745601415634	0.03939463570714	0.0630768612027168	-0.171659559011459	-0.0265486389398575	-0.0215967204421759	0.0579524151980877	0.212918698787689	0.00322869070805609	-0.111369431018829	-0.0376040413975716	0.256673216819763	0.0324710048735142	0.0579828657209873	0.0383096560835838	0.137261733412743	0.0386977791786194	0.0397358424961567	-0.0731390491127968	-0.146114885807037	-0.0268296580761671	-0.0831039473414421	0.130767717957497	-0.0551082566380501	-0.000292613141937181	0.0717203617095947	-0.0799847692251205
