ID	GTEX-11GSP	GTEX-11NV4	GTEX-11WQC	GTEX-12WSA	GTEX-12WSC	GTEX-12WSD	GTEX-12WSE	GTEX-12WSF	GTEX-12WSI	GTEX-12WSM	GTEX-12ZZW	GTEX-12ZZX	GTEX-12ZZY	GTEX-12ZZZ	GTEX-13112	GTEX-139TS	GTEX-139TT	GTEX-13CF2	GTEX-13CZV	GTEX-13FHO	GTEX-13FHP	GTEX-13FLV	GTEX-13FLW	GTEX-13FXS	GTEX-13G51	GTEX-13JUV	GTEX-13JVG	GTEX-13N1W	GTEX-13N2G	GTEX-13NYB	GTEX-13O3O	GTEX-13O3Q	GTEX-13OVJ	GTEX-13OVL	GTEX-13OW5	GTEX-13OW6	GTEX-13OW8	GTEX-13QJC	GTEX-13RTJ	GTEX-13S7M	GTEX-13VXU	GTEX-13X6I	GTEX-13X6J	GTEX-13X6K	GTEX-145MG	GTEX-145MH	GTEX-N7MS	GTEX-N7MT	GTEX-NL3H	GTEX-NPJ8	GTEX-OHPN	GTEX-Q2AG	GTEX-QDT8	GTEX-QMR6	GTEX-R55E	GTEX-RNOR	GTEX-RU72	GTEX-RVPU	GTEX-S7SE	GTEX-T5JC	GTEX-T6MN	GTEX-TSE9	GTEX-WHSE	GTEX-WL46	GTEX-WVLH	GTEX-WWYW	GTEX-WZTO	GTEX-X261	GTEX-X4EP	GTEX-XLM4	GTEX-Y8DK	GTEX-YFC4	GTEX-YJ89	GTEX-Z93S	GTEX-ZAB4	GTEX-ZDXO	GTEX-ZE7O	GTEX-ZUA1	GTEX-ZV68	GTEX-ZVT3	GTEX-ZVZQ	GTEX-ZXG5 
C1	-0.0218	0.1172	0.1173	-0.0219	-0.0212	0.1297	-0.0222	-0.0221	-0.0223	-0.0218	-0.0205	-0.0106	-0.0202	-0.0215	-0.0212	-0.0208	-0.0217	-0.0202	-0.0211	-0.0203	0.1121	-0.0215	0.1074	0.1214	-0.0212	0.1161	-0.0206	-0.0207	-0.021	0.1132	-0.0217	-0.0215	-0.0208	-0.022	-0.021	-0.0217	-0.0207	-0.02	-0.0216	-0.0217	-0.0199	-0.0219	-0.0159	-0.0213	0.1106	-0.0201	-0.0217	-0.0225	0.0756	-0.0219	-0.0166	-0.0222	-0.0196	-0.0202	-0.0186	-0.0213	0.0238	-0.0209	-0.0218	-0.0226	-0.0221	-0.0215	-0.0196	-0.0209	-0.0224	-0.0218	-0.0174	-0.0209	-0.0203	-0.0216	-0.0215	-0.0215	-0.0114	-0.0215	-0.0189	-0.0221	-0.0197	-0.0221	-0.0206	-0.0196	-0.0224	-0.013
C2	0.0025	0.0134	0.0101	-0.0068	0.0024	0.0214	0.0069	0.0136	0.0093	0.0028	0.0097	-0.1344	0.0031	0.0044	0.0019	0.0033	0.0158	-0.0159	0.005	0.0058	0.0147	0.0049	0.0195	0.0019	0.0025	-0.0059	0.0065	0.0032	0.0131	0.0132	0.0055	-0.0014	0.0084	0.0121	0.0146	0.0138	0.0041	0.0045	-3e-04	-0.011	0.0043	0.0148	-0.0036	0.0113	0.0052	-0.0052	0.01	0.005	-0.0353	0.0045	0.0056	0.0149	0.0021	-0.0074	0.0077	-0.0074	-0.603	0.0027	0.015	0.0065	0.0071	-0.0175	0.0112	0.0021	-0.0015	-0.001	-0.0018	0.0012	0.0074	0.0054	0.0124	0.015	-4e-04	0.0034	2e-04	0.0069	0.0067	0.0124	-0.0013	0.003	0.0141	-0.0284
C3	-0.012	-0.0069	-0.0079	0.0533	0.0025	-0.0052	0.0043	0.02	0.0271	0.0204	-0.0138	0.0568	0.0019	0.0231	0.0252	0.0252	0.0121	-0.0134	-0.0018	-0.0108	0.0156	-0.0185	0.0035	0.0088	-0.008	0.0124	0.038	-0.0158	0.0098	0.0099	-0.004	0.0251	2e-04	0.0288	0.0099	0.0268	-0.0118	-0.0257	0.0219	0.0431	0.0196	0.0204	-0.1116	0.0205	0.0076	-0.0222	0.0378	0.0533	1e-04	0.0015	-0.0607	0.0294	-0.023	0.0096	-0.022	0.0152	0.0187	0.0184	0.0337	0.0124	0.0181	0.0239	-0.0639	0.0161	0.0154	0.019	-0.0696	0.0047	0.0218	0.035	0.0114	-0.0026	-0.1762	0.0247	0.0045	0.0148	0.0076	0.0239	0.0194	-0.0262	0.0219	-0.1911
InferredCov1	-0.0539232157170773	-0.0909955054521561	0.0723038241267204	0.02802031673491	-0.094081237912178	-0.0413434617221355	0.0813361704349518	-0.00358451716601849	-0.119871981441975	0.00691761262714863	-0.00772280432283878	0.0251902900636196	-0.0147890858352184	-0.0256040692329407	-0.0539577566087246	0.129681810736656	-0.0739150419831276	0.0912615060806274	0.0839879959821701	-0.0115829398855567	0.0708265155553818	-0.0206880681216717	-0.0287793017923832	0.00611770804971457	-0.0847010165452957	0.0828220695257187	0.0588248819112778	-0.0594547539949417	0.0968144908547401	0.0323038958013058	-0.0386458598077297	-0.0906966850161552	0.102066986262798	0.131490528583527	0.0362421832978725	-0.0177838001400232	0.0574282482266426	0.101717039942741	-0.082261860370636	-0.0237753912806511	-0.0145032871514559	-0.0136667089536786	-0.0631816536188126	-0.0135759003460407	0.00697766942903399	-0.0919327139854431	0.000471304170787334	-0.0527121312916279	0.0733316093683243	0.0771771743893623	0.0365020036697388	-0.0361262336373329	-0.102644145488739	0.0454911515116692	-0.00904788821935654	-0.120194211602211	0.0338286012411118	0.090045340359211	-0.109243400394917	-0.0721332058310509	-0.107829503715038	0.00288009573705494	-0.120127633213997	-0.102924577891827	0.0629432499408722	0.0286913774907589	-0.0224829856306314	0.111577205359936	-0.0612763985991478	-0.091534897685051	0.0572625212371349	0.0320567935705185	0.0167589541524649	-0.0965601354837418	-0.0781177878379822	0.046018872410059	0.095473974943161	-0.0910676121711731	0.118543103337288	0.115557350218296	0.0735004842281342	0.0886458083987236
InferredCov2	-0.0107784317806363	0.0216512028127909	-0.0608026124536991	0.123591676354408	-0.0158683620393276	0.0114228846505284	-0.0815271735191345	0.128715217113495	0.0955535173416138	0.108767569065094	0.182131886482239	-0.017007315531373	-0.0886206477880478	0.0441530905663967	0.00353173399344087	0.0525787733495235	0.083646185696125	-0.00769799714908004	0.0124479606747627	0.118120543658733	0.065948598086834	0.0698212087154388	-0.0548909455537796	-0.078849233686924	0.00571285700425506	-0.0536033846437931	0.189181372523308	0.0880865082144737	-0.0369993485510349	0.00103893305640668	0.0857750773429871	0.0530998781323433	-0.0567621737718582	0.024069007486105	0.0712687149643898	-0.00359308440238237	0.0431454479694366	-0.107810899615288	-0.0339509211480618	0.0460480190813541	-0.0818735435605049	-0.0336561389267445	-0.0590570867061615	0.0545586533844471	0.0873593464493752	-0.0729845464229584	-0.035669356584549	0.0464457124471664	-0.0604072213172913	0.02329939045012	0.0370118543505669	-0.117108501493931	-0.195675015449524	-0.192799910902977	-0.0927267223596573	-0.131114095449448	-0.00909508857876062	-0.103399932384491	0.0948002636432648	0.0040010348893702	-0.0659618079662323	0.0160685870796442	0.0258861258625984	0.0130475154146552	-0.032617773860693	-0.0817490145564079	-0.0553669519722462	0.0665313750505447	-0.00391249917447567	0.021478371694684	-0.0212519485503435	-0.0057225814089179	0.0328124351799488	-0.028249291703105	-0.0290635749697685	0.133892342448235	0.0534544810652733	-0.0549592897295952	0.063898429274559	-0.0152779296040535	-0.13857701420784	-0.0771005153656006
InferredCov3	0.00928753241896629	-0.0285622794181108	-0.0671900361776352	-0.0710835009813309	-0.0328332111239433	-0.0599791072309017	-0.104047223925591	0.0679705515503883	-0.0925579965114594	-0.0461038425564766	-0.0821914598345757	-0.0146585432812572	0.00884589459747076	-0.0512492991983891	-0.0214624628424644	-0.0563373863697052	-0.0373027473688126	-0.166213512420654	0.0103229098021984	0.0469427332282066	-0.0552468709647655	0.0493749007582664	-0.0422257483005524	-0.00696713617071509	-0.0501478984951973	0.0428361445665359	0.0551733821630478	0.0955996885895729	0.280122220516205	-0.031307764351368	0.0602875910699368	-0.0175999756902456	0.202457115054131	-0.01135129109025	0.136864572763443	0.0314381681382656	0.0339945144951344	0.0934367403388023	0.0707433074712753	-0.0055522732436657	0.0426952540874481	0.0356922820210457	-0.0168683752417564	0.0500231236219406	-0.0369531363248825	0.00595989869907498	-0.010033855214715	0.0831432268023491	0.00485757878050208	0.11004626005888	0.0483569093048573	0.0500399395823479	-0.0742626190185547	-0.0400296859443188	-0.015272949822247	-0.0304371602833271	-0.0762939974665642	0.0239192843437195	-0.0602475255727768	0.00478331511840224	-0.115722976624966	0.0297683887183666	0.161141589283943	0.0144616365432739	-0.0158908776938915	0.06688192486763	0.00403238367289305	0.0499787665903568	0.256425648927689	0.0948986783623695	-0.060689240694046	-0.0414148382842541	-0.120210945606232	-0.0836515948176384	-0.000910677365027368	-0.0539084523916245	-0.142392545938492	-0.0491734035313129	-0.0918857008218765	-0.052724801003933	-0.035050917416811	-0.0565481632947922
InferredCov4	0.0796242505311966	-0.0810635611414909	-0.0205382313579321	-0.00619877176359296	0.0226794444024563	0.0874977931380272	-0.0916397273540497	-0.154031530022621	0.0672124549746513	-0.00733478367328644	0.0636303946375847	-0.00561308534815907	-0.0282632987946272	0.0183887518942356	0.0556884743273258	0.0833231508731842	0.0107543971389532	0.033960148692131	-0.00147447839844972	0.0232614912092686	-0.0438520535826683	-0.0537471584975719	-0.0103388773277402	-0.0225743856281042	-0.0641851127147675	-0.10040545463562	-0.00953020062297583	0.0987948328256607	0.028843866661191	-0.101862445473671	-0.0971979945898056	-0.0476269200444221	0.0809584259986877	0.0365650579333305	0.0465830750763416	-0.0681260749697685	-0.100005343556404	0.0251043476164341	-0.0295279268175364	-0.0845392644405365	-0.0776047334074974	0.0801980346441269	-0.0719784870743752	-0.0165614224970341	-0.0932062938809395	-0.048471711575985	-0.0961994081735611	-0.0517886355519295	0.0899672508239746	0.101406835019588	0.0663569644093513	-0.119405962526798	0.238506108522415	0.0730523318052292	-0.0386103391647339	-0.0269826706498861	0.0664684325456619	-0.183867841959	0.0478771477937698	0.00722731184214354	0.194727346301079	0.0263300873339176	-0.0365654528141022	-0.116596557199955	-0.00993209145963192	0.10526055842638	-0.0947866290807724	0.0903165861964226	0.14184533059597	-0.00503540644422174	-0.0312121622264385	0.0212723053991795	-0.0203683413565159	-0.077221006155014	0.062904104590416	0.0634245947003365	-0.0270484276115894	0.116952210664749	0.0949020385742188	0.124195255339146	-0.12423949688673	-0.0786474570631981
InferredCov5	-0.0716048628091812	0.047320194542408	0.0504212975502014	0.0770961418747902	-0.003153016557917	-0.101705312728882	0.0963645577430725	0.0508997179567814	0.0721052810549736	-0.0173331778496504	-0.0315641015768051	-0.00458860071375966	-0.0535915903747082	0.02324796654284	-0.117277659475803	0.046656996011734	-0.020845478400588	0.244876578450203	-0.0650969594717026	-0.145466566085815	-0.034977849572897	-0.0647822096943855	-0.0154295871034265	-0.0695215165615082	0.0124745583161712	0.0413494408130646	-0.047134879976511	0.125173136591911	0.143972620368004	0.00720113003626466	-0.07956712692976	0.0564376078546047	-0.0290202219039202	-0.0977615565061569	-0.00140314223244786	-0.0737941041588783	-0.102026879787445	-0.0248573608696461	-0.145042568445206	-0.123784020543098	-0.0126215824857354	-0.0838732123374939	0.0183262005448341	-0.113289713859558	-0.0400267168879509	0.0462401770055294	0.0709952935576439	-0.0763021782040596	0.121429495513439	0.019624849781394	-0.0125680491328239	-0.0169737879186869	-0.122885674238205	-0.139016136527061	0.0443089194595814	0.0516376569867134	0.0773738697171211	-0.102748014032841	0.0527195855975151	0.129686340689659	-0.0559958182275295	0.0171868596225977	0.13973705470562	0.0839353799819946	-0.0517241545021534	0.139290317893028	-0.034359697252512	0.0133389653638005	0.154974713921547	-0.0209391470998526	-0.0319733992218971	-0.001067936536856	0.0166224930435419	0.186392530798912	-0.0760549083352089	-0.10471934825182	0.0641236007213593	0.00311523512937129	0.074648879468441	-0.020116550847888	0.0211862679570913	0.0162973310798407
InferredCov6	-0.0484162420034409	0.0320251174271107	-0.0588469244539738	0.068091057240963	0.00373920146375895	-0.047725360840559	-0.0335671119391918	0.121889404952526	0.0196373555809259	-0.0285391826182604	0.0357389077544212	-0.163727849721909	-0.0949056074023247	-0.0605651140213013	-0.0535661056637764	-0.023064723238349	-0.0305662043392658	0.191251501441002	0.0618543550372124	0.125530928373337	-0.0545475892722607	0.0226361248642206	0.0110349031165242	-0.116893157362938	0.0419993624091148	0.0760469064116478	-0.000632417388260365	0.0274323411285877	0.0982354730367661	-0.0141251403838396	0.00248556560836732	-0.0394025780260563	0.0596644170582294	-0.100104652345181	-0.0739359706640244	-0.081400528550148	0.0585202686488628	-0.0572298765182495	-0.00984238181263208	-5.68585310247727e-05	-0.121192194521427	-0.0317422673106194	-0.0204438790678978	0.0399106740951538	-0.0967199504375458	-0.0768354013562202	-0.0689040124416351	0.0113558992743492	-0.225879281759262	-0.0850417613983154	0.0547702722251415	-0.0901994779706001	0.114421427249908	0.213035836815834	-0.0975567325949669	0.0193152390420437	-0.0274641532450914	0.279828459024429	0.0765925571322441	0.0839765444397926	0.0423662550747395	0.0895745977759361	-0.021429343149066	-0.0602754317224026	-0.0548801571130753	0.0428351275622845	-0.000220609232201241	-0.0525429956614971	0.0344662256538868	0.0485125854611397	-0.065548837184906	-0.0776256620883942	0.0177116952836514	0.018817063421011	0.10646566003561	0.0124247223138809	0.092675156891346	-0.0372061692178249	0.0149152809754014	-0.0692595839500427	0.129175826907158	-0.0283576920628548
InferredCov7	0.0156195163726807	-0.0176396612077951	-0.102660246193409	0.0765924602746964	0.00983336474746466	-0.0667563751339912	-0.112308405339718	-0.0312307272106409	0.0199344865977764	-0.000108333115349524	-0.0820171609520912	0.0251905489712954	0.0920271053910255	-0.00716438703238964	0.00813116040080786	-0.00162507756613195	0.0377770289778709	0.253972947597504	0.0638833865523338	-0.119429171085358	0.0226935166865587	0.100233383476734	0.0184726528823376	0.0395100377500057	0.0762361139059067	-0.219952642917633	0.0574275404214859	0.0242934450507164	0.127101168036461	0.0141128608956933	0.0137451337650418	0.0404311083257198	0.128682971000671	0.107435531914234	-0.0493586361408234	0.123273342847824	0.123926155269146	-0.0162695813924074	0.0456182546913624	-0.0985435172915459	0.0940337628126144	-0.0424286089837551	0.111182816326618	0.0260139610618353	-0.0520021058619022	0.0728797093033791	-0.0668125972151756	-0.118632040917873	-0.0754527747631073	-0.0907061323523521	-0.290001511573792	0.0133744115009904	-0.047625083476305	-0.0232779197394848	0.00492504891008139	-0.0132673913612962	-0.062252052128315	-0.0744453370571136	0.0266929659992456	-0.0117445886135101	0.00301761506125331	0.0529543608427048	-0.0245209615677595	-0.0915127024054527	0.0462154671549797	-0.0596788227558136	0.122291512787342	-0.0647488161921501	-0.0378905236721039	-0.0306950267404318	0.0942958295345306	0.000618775375187397	-0.126496344804764	-0.0836091265082359	0.0975484848022461	0.00498639000579715	-0.0423786453902721	0.00912372209131718	0.127385526895523	-0.00529312761500478	-0.0443018414080143	-0.0693304687738419
